012,2010,1,212.84
012,2010,2,207.29
012,2010,3,210.47
012,2010,4,210.04
012,2011,1,204.97
012,2011,2,204.65
012,2011,3,202.82
012,2011,4,207.15
012,2012,1,208.37
012,2012,2,203.55
012,2012,3,203.81
012,2012,4,202.32
012,2013,1,206.32
012,2013,2,203.20
012,2013,3,198.23
012,2013,4,199.00
012,2014,1,196.55
012,2014,2,200.51
012,2014,3,203.35
012,2014,4,201.14
012,2015,1,199.79
012,2015,2,203.97
012,2015,3,206.31
012,2015,4,207.24
012,2016,1,204.01
012,2016,2,199.35
012,2016,3,210.02
012,2016,4,209.71
012,2017,1,206.39
012,2017,2,210.11
012,2017,3,212.08
012,2017,4,214.54
012,2018,1,220.31
012,2018,2,216.30
012,2018,3,233.55
012,2018,4,217.53
012,2019,1,230.05
013,1995,1,100.00
013,1995,2,101.21
013,1995,3,104.13
013,1995,4,103.76
013,1996,1,105.24
013,1996,2,103.88
013,1996,3,102.34
013,1996,4,103.48
013,1997,1,104.36
013,1997,2,105.00
013,1997,3,105.39
013,1997,4,106.54
013,1998,1,108.25
013,1998,2,109.19
013,1998,3,110.19
013,1998,4,110.98
013,1999,1,111.48
013,1999,2,112.18
013,1999,3,114.85
013,1999,4,114.75
013,2000,1,117.41
013,2000,2,117.78
013,2000,3,120.05
013,2000,4,122.05
013,2001,1,125.00
013,2001,2,127.51
013,2001,3,130.09
013,2001,4,131.98
013,2002,1,135.37
013,2002,2,139.11
013,2002,3,143.38
013,2002,4,146.43
013,2003,1,148.86
013,2003,2,151.14
013,2003,3,155.93
013,2003,4,162.02
013,2004,1,165.16
013,2004,2,170.64
013,2004,3,178.93
013,2004,4,184.21
013,2005,1,188.69
013,2005,2,194.43
013,2005,3,200.89
013,2005,4,203.73
013,2006,1,205.49
013,2006,2,205.68
013,2006,3,205.32
013,2006,4,208.81
013,2007,1,208.89
013,2007,2,208.72
013,2007,3,206.77
013,2007,4,208.46
013,2008,1,206.23
013,2008,2,201.16
